split,file_name,question,answer,receipt_currency,question_category,operations
dev,X00016469670,What would be the price of the 1st position if the quantity in that position were to change to 3?,579.0,Malaysian ringgit,amount,division;multiplication;sorting
dev,X00016469670,How many goods in the 1st position can be bought for 324?,1.0,Malaysian ringgit,count,division;sorting
dev,X00016469670,How many positions were bought?,1.0,Malaysian ringgit,count,counting
dev,X00016469670,How many goods were sold in total?,1.0,Malaysian ringgit,count,summation
dev,X00016469670,How much should be paid?,193.0,Malaysian ringgit,amount,-
dev,X00016469670,What is the payment made by card?,193.0,Malaysian ringgit,amount,-
dev,X51005200931,What is the average price of a position?,68.5833,Malaysian ringgit,amount,counting;division;summation
dev,X51005200931,What is the position number of the largest quantity of items?,2.0,Malaysian ringgit,count,sorting
dev,X51005200931,What is the total quantity of goods sold?,45.0,Malaysian ringgit,count,summation
dev,X51005200931,How many positions are with unit price larger than or equal to 55.0?,1.0,Malaysian ringgit,count,counting;division;sorting
dev,X51005200931,How many goods in the 6th position were purchased?,4.0,Malaysian ringgit,count,sorting
dev,X51005200931,How many positions are in the receipt?,6.0,Malaysian ringgit,count,counting
dev,X51005200931,How many goods in the 5th position can be purchased for 3316?,77.0,Malaysian ringgit,count,division;sorting
dev,X51005200931,What is the lowest price in the first 4 positions?,17.5,Malaysian ringgit,amount,counting;sorting
dev,X51005200931,How many positions do contain zero price?,0.0,Malaysian ringgit,count,counting
dev,X51005200931,What is the price of the 1st position in thousands?,0.0175,Malaysian ringgit,amount,division;sorting
dev,X51005200931,How much should be paid for 7 items from the 5th position?,301.0,Malaysian ringgit,amount,multiplication;sorting
dev,X51005200931,What is the maximum unit price?,55.0,Malaysian ringgit,amount,division;sorting
dev,X51005200931,What is the payment made by cash?,436.2,Malaysian ringgit,amount,-
dev,X51005200931,What is the rounding value?,0.01,Malaysian ringgit,amount,-
dev,X51005200931,What is the total amount paid?,436.2,Malaysian ringgit,amount,-
dev,X51005288570,What is the total number of positions?,1.0,Malaysian ringgit,count,counting
dev,X51005288570,What is the price of the 1st position in thousands?,0.001,Malaysian ringgit,amount,division;sorting
dev,X51005288570,How much should be paid for 2 products from the 1st position?,2.0,Malaysian ringgit,amount,multiplication;sorting
dev,X51005288570,What is the quantity of products in the 1st position?,1.0,Malaysian ringgit,count,sorting
dev,X51005288570,What is the total amount?,1.0,Malaysian ringgit,amount,-
dev,X51005433518,What is the average price in the first 2 positions?,4.1,Malaysian ringgit,amount,counting;division;sorting;summation
dev,X51005433518,How many positions are free of cost?,0.0,Malaysian ringgit,count,counting
dev,X51005433518,How many goods in the 1st position were purchased?,1.0,Malaysian ringgit,count,sorting
dev,X51005433518,What is the price of the 1st position in thousands?,0.0071,Malaysian ringgit,amount,division;sorting
dev,X51005433518,How many positions are in the receipt?,2.0,Malaysian ringgit,count,counting
